,Gridcell,LaunchZone,TrackNumber,X,X after,X before,Y,Y after,Y before,bearing,diffLong,distance m,easting,initial bearing,lat,lat after,lat before,lon,lon after,lon before,northing,speed m/s,x,y
2014-02-19 12:07:00,3.0,2.0,68.0,8419786.051518876,8419788.36221784,,534849.4109243331,534843.7912882812,,,,,,,-14.29353022575,-14.293509404000002,,-170.676879883,-170.6769320169167,,,,,
2014-02-19 12:08:00,3.0,2.0,68.0,8419788.36221784,8419793.57066314,8419786.051518876,534843.7912882812,534833.924212483,534849.4109243331,295.95981922602004,-2.507803969526023e-06,6.076153310862334,-2.310698963701725,-64.04018077397994,-14.293509404000002,-14.293462435333335,-14.29353022575,-170.6769320169167,-170.67702356958333,-170.676879883,5.619636051938869,0.10126922184770557,-2.430172159594465e-06,1.1831652197147324e-06
2014-02-19 12:09:00,3.0,2.0,68.0,8419793.57066314,8419799.30548781,8419788.36221784,534833.924212483,534824.7435655547,534843.7912882812,299.95453175488734,-3.084828728137628e-06,11.157378152809867,-5.2084452994167805,-60.045468245112716,-14.293462435333335,-14.293410698666664,-14.293509404000002,-170.67702356958333,-170.67710876458332,-170.6769320169167,9.86707579821814,0.1859563025468311,-2.9893351745104803e-06,1.7227319176194023e-06
2014-02-19 12:10:00,3.0,2.0,68.0,8419799.30548781,8419804.575246343,8419793.57066314,534824.7435655547,534815.0136944324,534833.924212483,300.27376743357104,-3.062638321675272e-06,10.824624336223648,-5.734824670478702,-59.72623256642904,-14.293410698666664,-14.293363173833336,-14.293462435333335,-170.67710876458332,-170.67719904583333,-170.67702356958333,9.180646928143688,0.18041040560372748,-2.967832318541044e-06,1.7324388734696328e-06
2014-02-19 12:10:00,3.0,1.0,59.0,8419957.007737944,8419961.247056147,,534784.3133562577,534779.8483306357,,,,,,,-14.291985321099999,-14.291947046833336,,-170.6774856568,-170.6775271099167,,,,,
2014-02-19 12:11:00,3.0,1.0,59.0,8419961.247056147,8419965.472918008,8419957.007737944,534779.8483306357,534774.9170322664,534784.3133562577,312.11594053741277,-1.5224367434782674e-06,6.156969435799633,-4.239318203181028,-47.884059462587146,-14.291947046833336,-14.291908900083337,-14.291985321099999,-170.6775271099167,-170.67757288599998,-170.6774856568,4.465025622048415,0.10261615726332723,-1.4753182428343522e-06,1.333798081259996e-06
2014-02-19 12:11:00,3.0,2.0,68.0,8419804.575246343,8419811.446978861,8419799.30548781,534815.0136944324,534803.6403458797,534824.7435655547,299.98998972010065,-3.417722649565184e-06,11.065294711929786,-5.2697585336864,-60.010010279899404,-14.293363173833336,-14.29330118516667,-14.293410698666664,-170.67719904583333,-170.6773045856667,-170.67710876458332,9.729871122399343,0.18442157853216312,-3.3119256881500036e-06,1.9113697529993257e-06
2014-02-19 12:12:00,3.0,2.0,68.0,8419811.446978861,8419817.616343057,8419804.575246343,534803.6403458797,534791.7174235943,534815.0136944324,299.3141721520951,-3.7728098863064203e-06,13.28810615181728,-6.8717325180768976,-60.6858278479049,-14.29330118516667,-14.293245553916664,-14.293363173833336,-170.6773045856667,-170.6774152119167,-170.67719904583333,11.37334855273366,0.22146843586362136,-3.6560219629017035e-06,2.052853109113517e-06
2014-02-19 12:12:00,3.0,5.0,61.0,8420094.478225049,8420091.278776629,,534762.6160111931,534756.3028764307,,,,,,,-14.290742635749998,-14.290771643249998,,-170.6776885986667,-170.67774709083332,,,,,
2014-02-19 12:12:00,3.0,1.0,59.0,8419965.472918008,8419974.707782669,8419961.247056147,534774.9170322664,534770.8155051755,534779.8483306357,326.2240324107688,-1.4647370305298123e-06,6.4942753307672145,-4.225861860439181,-33.77596758923121,-14.291908900083337,-14.291825453333333,-14.291947046833336,-170.67757288599998,-170.6776110331666,-170.6775271099167,4.931298369425349,0.10823792217945356,-1.4194048278871166e-06,2.1222066673987072e-06
2014-02-19 12:13:00,3.0,5.0,61.0,8420091.278776629,8420091.527153973,8420094.478225049,534756.3028764307,534754.6574836472,534762.6160111931,249.4568507746887,-1.2871963212585446e-06,7.077580145853214,3.199448419734836,-110.5431492253113,-14.290771643249998,-14.290769418166668,-14.290742635749998,-170.67774709083332,-170.67776234958333,-170.6776885986667,6.3131347625749195,0.11795966909755355,-1.2473646893324442e-06,-4.6744155071665183e-07
2014-02-19 12:13:00,3.0,1.0,59.0,8419974.707782669,8419982.000852086,8419965.472918008,534770.8155051755,534766.162737382,534774.9170322664,332.1612596551178,-1.4203533087537757e-06,10.104714236036548,-9.234864661470057,-27.838740344882172,-14.291825453333333,-14.2917595705,-14.291908900083337,-170.6776110331666,-170.67765426625,-170.67757288599998,4.101527090766467,0.16841190393394248,-1.3763951428001251e-06,2.6062926585523893e-06
2014-02-19 12:13:00,3.0,2.0,68.0,8419817.616343057,8419826.404215537,8419811.446978861,534791.7174235943,534780.3467071127,534803.6403458797,302.7898815206788,-3.772812793669588e-06,13.424497398231908,-6.16936419531703,-57.21011847932124,-14.293245553916664,-14.293166240083332,-14.29330118516667,-170.6774152119167,-170.67752075191666,-170.6773045856667,11.922922285273671,0.22374162330386516,-3.6560260696581664e-06,2.3552343108579343e-06
2014-02-19 12:14:00,3.0,5.0,61.0,8420091.527153973,8420089.3864851,8420091.278776629,534754.6574836472,534751.7744961592,534756.3028764307,247.11244824302966,-7.323634255191678e-07,1.6640338687315763,-0.2483773436397314,-112.88755175697031,-14.290769418166668,-14.290788809500002,-14.290771643249998,-170.67776234958333,-170.6777890521667,-170.67774709083332,1.64539278333541,0.027733897812192942,-7.097007526429811e-07,-2.99607646941924e-07
2014-02-19 12:14:00,3.0,2.0,68.0,8419826.404215537,8419836.334739383,8419817.616343057,534780.3467071127,534768.9775795252,534791.7174235943,309.55737741638006,-3.684039530926708e-06,14.370800118156849,-8.787872480228543,-50.44262258361991,-14.293166240083332,-14.29307659475,-14.293245553916664,-170.67752075191666,-170.67762629183338,-170.6774152119167,11.370716481702402,0.2395133353026141,-3.5700021899361284e-06,2.948892136145353e-06
2014-02-19 12:14:00,1.0,3.0,65.0,8420250.254100727,8420247.970549941,,534599.9028339097,534598.6653472576,,,,,,,-14.289336205,-14.289356867500002,,-170.679199219,-170.67921066324996,,,,,
2014-02-19 12:14:00,3.0,1.0,59.0,8419982.000852086,8419983.932261841,8419974.707782669,534766.162737382,534761.5024762349,534770.8155051755,314.82745412121534,-1.5091265729848125e-06,8.650844447595079,-7.29306941665709,-45.17254587878459,-14.2917595705,-14.291742165916665,-14.291825453333333,-170.67765426625,-170.67769749975,-170.6776110331666,4.652767793508247,0.1441807407932513,-1.4624210982302785e-06,1.4536393739550404e-06
2014-02-19 12:15:00,3.0,1.0,59.0,8419983.932261841,8419990.89955951,8419982.000852086,534761.5024762349,534757.2606822836,534766.162737382,315.09038469691694,-1.4425480794852232e-06,5.044638500766872,-1.9314097557216885,-44.90961530308304,-14.291742165916665,-14.291679223416667,-14.2917595705,-170.67769749975,-170.6777369181667,-170.67765426625,4.66026114707347,0.08407730834611456,-1.3979035123943485e-06,1.4023208996238878e-06
2014-02-19 12:15:00,3.0,2.0,68.0,8419836.334739383,8419843.027052836,8419826.404215537,534768.9775795252,534760.2096691332,534780.3467071127,309.6370403979099,-3.2623723467562727e-06,15.095441893613994,-9.930523846298458,-50.36295960209012,-14.29307659475,-14.293016195416666,-14.293166240083332,-170.67762629183338,-170.67770767208333,-170.67752075191666,11.369127587531693,0.25159069822689994,-3.1613883218303746e-06,2.618772185297713e-06
2014-02-19 12:15:00,3.0,5.0,61.0,8420089.3864851,8420092.353368865,8420091.527153973,534751.7744961592,534748.3499564533,534754.6574836472,277.4292765912786,-1.0208779864634632e-06,3.5908327834990827,2.140668872743845,-82.5707234087213,-14.290788809500002,-14.290762027000001,-14.290769418166668,-170.6777890521667,-170.6778208415833,-170.67776234958333,2.8829874880611897,0.05984721305831805,-9.892874717277338e-07,1.2900006929328356e-07
2014-02-19 12:15:00,1.0,3.0,65.0,8420247.970549941,8420246.109998405,8420250.254100727,534598.6653472576,534596.6056300068,534599.9028339097,218.2520222796416,-5.326279460125047e-07,2.5973019474036576,2.2835507858544593,-141.74797772035836,-14.289356867500002,-14.289373715666668,-14.289336205,-170.67921066324996,-170.67922973633338,-170.679199219,1.2374866522150114,0.04328836579006096,-5.161492491300647e-07,-6.54684671946848e-07
2014-02-19 12:16:00,3.0,5.0,61.0,8420092.353368865,8420093.967951136,8420089.3864851,534748.3499564533,534743.9635638014,534751.7744961592,300.47176710573086,-1.265004460370526e-06,4.5309901208414685,-2.9668837655335665,-59.5282328942691,-14.290762027000001,-14.290747483583331,-14.290788809500002,-170.6778208415833,-170.67786153158332,-170.6777890521667,3.424539705854841,0.07551650201402449,-1.2258596637729522e-06,7.212731209516043e-07
2014-02-19 12:16:00,3.0,2.0,68.0,8419843.027052836,8419848.083959265,8419836.334739383,534760.2096691332,534751.8509114684,534768.9775795252,304.5399022698673,-2.7741281230158568e-06,11.030109337637857,-6.692313453182577,-55.46009773013272,-14.293016195416666,-14.292970577666663,-14.29307659475,-170.67770767208333,-170.67778523766663,-170.67762629183338,8.767910392140037,0.1838351556272976,-2.688257837587005e-06,1.8503462469732224e-06
2014-02-19 12:16:00,1.0,3.0,65.0,8420246.109998405,8420245.689587638,8420247.970549941,534596.6056300068,534595.507902106,534598.6653472576,233.9042784241873,-5.104288129961761e-07,2.775623744666984,1.8605515360832212,-126.09572157581265,-14.289373715666668,-14.289377530583335,-14.289356867500002,-170.67922973633338,-170.6792399086667,-170.67921066324996,2.059717250871472,0.046260395744449734,-4.946369150676717e-07,-3.6063886893478175e-07
2014-02-19 12:16:00,1.0,4.0,64.0,8420211.599971151,8420211.617222764,,534490.9008147937,534489.8585163126,,,,,,,-14.2896870615,-14.2896869185,,-170.6802093508,-170.68021901483337,,,,,
2014-02-19 12:16:00,3.0,1.0,59.0,8419990.89955951,8419996.984079003,8419983.932261841,534757.2606822836,534755.7605187576,534761.5024762349,336.3073294402348,-9.321076315798029e-07,8.156963451020937,-6.9672976695001125,-23.6926705597652,-14.291679223416667,-14.29162422825,-14.291742165916665,-170.6777369181667,-170.67775090558334,-170.67769749975,4.241793951368891,0.13594939085034896,-9.032606047902138e-07,2.0584004915280563e-06
2014-02-19 12:17:00,1.0,3.0,65.0,8420245.689587638,8420245.873220982,8420246.109998405,534595.507902106,534596.1938951833,534596.6056300068,239.8620840453281,-6.657412972655077e-08,1.175479373360189,0.42041076719760895,-120.13791595467191,-14.289377530583335,-14.289375861666665,-14.289373715666668,-170.6792399086667,-170.67923355075,-170.67922973633338,1.0977279007202014,0.01959132288933648,-6.451442700161383e-08,-3.745476617744714e-08
2014-02-19 12:17:00,1.0,4.0,64.0,8420211.617222764,8420211.459416103,8420211.599971151,534489.8585163126,534489.5840035914,534490.9008147937,263.789688432438,-2.1305583346001478e-07,1.042441241434618,-0.01725161261856556,-96.210311567562,-14.2896869185,-14.28968834875,-14.2896870615,-170.68021901483337,-170.68022155800006,-170.6802093508,1.0422984811011702,0.017374020690576968,-2.06463921912156e-07,-2.2466756233185947e-08
2014-02-19 12:17:00,3.0,2.0,68.0,8419848.083959265,8419854.866838284,8419843.027052836,534751.8509114684,534747.4717100108,534760.2096691332,313.00779099967895,-2.0639536510215406e-06,9.769397746040225,-5.0569064281880864,-46.992209000321076,-14.292970577666663,-14.292909304333337,-14.293016195416666,-170.67778523766663,-170.67782592791662,-170.67770767208333,8.358757664682344,0.1628232957673371,-2.0000666315399317e-06,1.8656008355377731e-06
2014-02-19 12:17:00,3.0,5.0,61.0,8420093.967951136,8420094.745451635,8420092.353368865,534743.9635638014,534741.0845816154,534748.3499564533,288.2515440994679,-1.176229742705932e-06,4.674111295835653,-1.6145822703838348,-71.74845590053216,-14.290747483583331,-14.290740489833336,-14.290762027000001,-170.67786153158332,-170.67788823458332,-170.6778208415833,4.386392652057111,0.07790185493059419,-1.1398320614010413e-06,3.7589430437745536e-07
