,Gridcell,LaunchZone,X,X after,X before,Y,Y after,Y before,bearing,diffLong,distance m,easting,initial bearing,lat,lat after,lat before,lon,lon after,lon before,northing,speed m/s,x,y
2014-02-16 16:54:00,43.0,2.0,8419816.746347664,8419824.605390383,8419808.679217644,534791.5790595523,534778.1499054324,534802.9507877445,302.79170255960065,-4.0169378141430924e-06,13.942553167732873,-8.067130019888282,-57.2082974403994,-14.293253421833331,-14.293182532000001,-14.293326218916668,-170.67741648358333,-170.67754109700002,-170.6773109434167,11.371728192199953,0.2323758861288812,-3.892593963166349e-06,2.507807857765609e-06
2014-02-16 16:54:00,37.0,0.0,8419936.591961922,8419942.777931323,8419933.3130727,534792.5684999017,534787.6398965194,534799.1468961933,309.53603799475485,-1.8642181720109303e-06,7.350266138024869,-3.2788892220705748,-50.46396200524525,-14.292169809333336,-14.292113939999998,-14.292199373166664,-170.67740885424996,-170.6774546306667,-170.67734781883334,6.578396291588433,0.12250443563374785,-1.8065200950084942e-06,1.491089633043341e-06
2014-02-16 16:54:00,23.0,5.0,8420066.745551685,8420068.165602852,8420069.820044491,534757.228861714,534747.3563722173,534764.9132322845,264.5027940031796,-2.8407051625858364e-06,8.276596950444722,3.074492806568742,-95.49720599682041,-14.290993452083335,-14.290980736416664,-14.290965557166665,-170.67773818958338,-170.6778297425,-170.67766698208334,7.684370570350437,0.13794328250741206,-2.752798407768611e-06,-2.6492885560336354e-07
2014-02-16 16:55:00,23.0,5.0,8420068.165602852,8420069.388660561,8420066.745551685,534747.3563722173,534740.0893823464,534757.228861714,278.7412054293587,-2.7741295779375717e-06,9.974096158618456,-1.4200511667877436,-81.25879457064131,-14.290980736416664,-14.290969769166667,-14.290993452083335,-170.6778297425,-170.6778971355,-170.67773818958338,9.872489496832713,0.1662349359769743,-2.688283162231556e-06,4.133439518716475e-07
2014-02-16 16:55:00,18.0,0.0,8420222.820224816,8420225.39105984,,534543.6351222248,534546.930197225,,,,,,,-14.289584954666665,-14.289561669000001,,-170.67972056099995,-170.6796900431667,,,,,
2014-02-16 16:55:00,43.0,2.0,8419824.605390383,8419831.374316147,8419816.746347664,534778.1499054324,534764.8563745384,534791.5790595523,298.7688405316888,-4.3276355109095916e-06,15.559779331203053,-7.8590427190065375,-61.23115946831113,-14.293182532000001,-14.293121496833336,-14.293253421833331,-170.67754109700002,-170.67766443883338,-170.67741648358333,13.429154119919984,0.25932965552005083,-4.193675186385036e-06,2.3025233753248835e-06
2014-02-16 16:55:00,35.0,0.0,8419942.777931323,8419951.146242475,8419936.591961922,534787.6398965194,534780.9314666128,534792.5684999017,321.45219240295415,-1.886404216684457e-06,7.9093203710652284,-6.185969401150942,-38.54780759704576,-14.292113939999998,-14.292038361083335,-14.292169809333336,-170.6774546306667,-170.67751693725003,-170.67740885424996,4.9286033823154884,0.13182200618442047,-1.8280200896447327e-06,2.294204332869976e-06
2014-02-16 16:56:00,43.0,2.0,8419831.374316147,8419835.80270917,8419824.605390383,534764.8563745384,534753.3424352143,534778.1499054324,294.34881279609624,-4.016936359221379e-06,14.91765127787838,-6.768925765529275,-65.65118720390375,-14.293121496833336,-14.2930816015,-14.293182532000001,-170.67766443883338,-170.67777125049997,-170.67754109700002,13.293530893977733,0.24862752129797305,-3.892594300252499e-06,1.7615676105031672e-06
2014-02-16 16:56:00,18.0,0.0,8420225.39105984,8420225.514867663,8420222.820224816,534546.930197225,534546.3817770676,534543.6351222248,45.287883554702255,4.438634078393878e-07,4.17931955919022,-2.5708350241184235,45.287883554702226,-14.289561669000001,-14.289560556416669,-14.289584954666665,-170.6796900431667,-170.67969512950003,-170.67972056099995,-3.2950750001473352,0.06965532598650366,4.301305932272968e-07,4.258297705839187e-07
2014-02-16 16:56:00,30.0,0.0,8419951.146242475,8419958.85950775,8419942.777931323,534780.9314666128,534777.5135527741,534787.6398965194,327.88530919584963,-1.6422835584958338e-06,10.72528150423268,-8.368311151862143,-32.11469080415039,-14.292038361083335,-14.291968663500002,-14.292113939999998,-170.67751693725003,-170.67754872658335,-170.6774546306667,6.708429906517267,0.1787546917372113,-1.5914554482002796e-06,2.5355529281179128e-06
2014-02-16 16:56:00,23.0,5.0,8420069.388660561,8420069.962794693,8420068.165602852,534740.0893823464,534731.7243425519,534747.3563722173,276.5195432162783,-2.5300016496048458e-06,7.369193439262492,-1.2230577096343038,-83.48045678372169,-14.290969769166667,-14.290964683,-14.290980736416664,-170.6778971355,-170.67797470091668,-170.6778297425,7.266989870928228,0.12281989065437487,-2.451709913962868e-06,2.8018421141529077e-07
2014-02-16 16:57:00,18.0,0.0,8420225.514867663,8420224.790921373,8420225.39105984,534546.3817770676,534548.7122898282,534546.930197225,108.64164361988459,2.8851310701468594e-07,0.5622215276466035,-0.12380782328546047,108.64164361988456,-14.289560556416669,-14.289567072999995,-14.289561669000001,-170.67969512950003,-170.67967351258332,-170.6796900431667,0.5484201573999599,0.009370358794110058,2.7958671088291364e-07,-9.431760261691123e-08
2014-02-16 16:57:00,23.0,5.0,8420069.962794693,8420073.270376319,8420069.388660561,534731.7243425519,534729.8089012785,534740.0893823464,290.7254412074916,-1.66447396495819e-06,8.384719480371517,-0.5741341318935156,-69.27455879250836,-14.290964683,-14.290934801083337,-14.290969769166667,-170.67797470091668,-170.67799250283332,-170.6778971355,8.365039794472978,0.13974532467285866,-1.6129664833217172e-06,6.103078558639119e-07
